,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.838,0.95,0.961,0.969,0.975,0.972,0.978,0.978,0.978,0.983,0.986,0.986,0.992,0.992,0.992,0.986,0.986,0.986,0.981,0.981
1,0.981,0.973,0.981,0.977,0.977,0.977,0.981,0.981,0.981,0.981,0.981,0.977,0.977,0.977,0.977,0.981,0.981,0.981,0.981,0.981
2,0.707,0.823,0.854,0.823,0.854,0.864,0.879,0.879,0.889,0.889,0.894,0.909,0.904,0.909,0.899,0.904,0.904,0.904,0.904,0.909
3,0.777,0.873,0.886,0.88,0.861,0.867,0.88,0.88,0.855,0.867,0.855,0.867,0.88,0.886,0.892,0.88,0.88,0.873,0.861,0.867
4,0.7,0.745,0.785,0.825,0.88,0.875,0.88,0.89,0.9,0.915,0.92,0.93,0.92,0.92,0.93,0.92,0.925,0.915,0.92,0.925
5,0.756,0.812,0.825,0.9,0.906,0.906,0.906,0.925,0.906,0.906,0.894,0.919,0.906,0.912,0.912,0.906,0.894,0.9,0.906,0.906
6,0.829,0.918,0.918,0.941,0.929,0.935,0.959,0.965,0.965,0.965,0.959,0.965,0.965,0.971,0.953,0.976,0.971,0.976,0.976,0.971
7,0.776,0.837,0.878,0.905,0.918,0.925,0.925,0.939,0.946,0.946,0.939,0.952,0.959,0.939,0.952,0.952,0.959,0.959,0.959,0.959
8,0.807,0.855,0.867,0.861,0.88,0.88,0.88,0.898,0.91,0.898,0.922,0.934,0.928,0.916,0.922,0.934,0.91,0.91,0.898,0.904
9,0.791,0.898,0.927,0.921,0.932,0.927,0.927,0.932,0.938,0.927,0.938,0.955,0.949,0.955,0.949,0.949,0.949,0.938,0.944,0.949
Total Acc,0.807,0.879,0.898,0.908,0.919,0.92,0.927,0.933,0.933,0.935,0.936,0.945,0.944,0.944,0.944,0.945,0.942,0.941,0.939,0.941
