,Random Forest,Support Vector Machine,KNN,Decision Tree,Naive Bayes
0,0.9805013927576601,0.9888579387186629,0.9860724233983287,0.9164345403899722,0.8217270194986073
1,0.9621212121212122,0.9621212121212122,0.9810606060606061,0.946969696969697,0.9621212121212122
2,0.9141414141414141,0.9292929292929293,0.9191919191919192,0.7626262626262627,0.7121212121212122
3,0.891566265060241,0.8855421686746988,0.927710843373494,0.7469879518072289,0.46987951807228917
4,0.94,0.94,0.915,0.79,0.28
5,0.91875,0.94375,0.9,0.7,0.4625
6,0.9352941176470588,0.9352941176470588,0.9588235294117647,0.8411764705882353,0.888235294117647
7,0.9319727891156463,0.9387755102040817,0.9387755102040817,0.8639455782312925,0.8979591836734694
8,0.9156626506024096,0.9337349397590361,0.9096385542168675,0.6987951807228916,0.6626506024096386
9,0.9491525423728814,0.96045197740113,0.9491525423728814,0.8305084745762712,0.864406779661017
Total Acc,0.9397110114598903,0.9471848530144494,0.9446935724962631,0.8256103637269556,0.7194818136522172
